,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
258,3,59,178,147,31,0.17415730337078653,0.8258426966292135,0.8673,"[{'tx': 66, 'success': 56, 'collisions': 10}, {'tx': 67, 'success': 57, 'collisions': 10}, {'tx': 45, 'success': 34, 'collisions': 11}]"
259,3,60,181,139,42,0.23204419889502761,0.7679558011049724,0.834,"[{'tx': 66, 'success': 50, 'collisions': 16}, {'tx': 64, 'success': 49, 'collisions': 15}, {'tx': 51, 'success': 40, 'collisions': 11}]"
260,3,61,169,148,21,0.1242603550295858,0.8757396449704142,0.9028,"[{'tx': 55, 'success': 47, 'collisions': 8}, {'tx': 56, 'success': 51, 'collisions': 5}, {'tx': 58, 'success': 50, 'collisions': 8}]"
261,3,62,165,141,24,0.14545454545454545,0.8545454545454545,0.8742,"[{'tx': 61, 'success': 53, 'collisions': 8}, {'tx': 34, 'success': 28, 'collisions': 6}, {'tx': 70, 'success': 60, 'collisions': 10}]"
262,3,63,168,137,31,0.18452380952380953,0.8154761904761905,0.8631,"[{'tx': 50, 'success': 37, 'collisions': 13}, {'tx': 58, 'success': 51, 'collisions': 7}, {'tx': 60, 'success': 49, 'collisions': 11}]"
263,3,64,164,140,24,0.14634146341463414,0.8536585365853658,0.896,"[{'tx': 54, 'success': 44, 'collisions': 10}, {'tx': 54, 'success': 46, 'collisions': 8}, {'tx': 56, 'success': 50, 'collisions': 6}]"
264,3,65,161,136,25,0.15527950310559005,0.84472049689441,0.884,"[{'tx': 56, 'success': 48, 'collisions': 8}, {'tx': 53, 'success': 42, 'collisions': 11}, {'tx': 52, 'success': 46, 'collisions': 6}]"
265,3,66,164,126,38,0.23170731707317074,0.7682926829268293,0.8316,"[{'tx': 59, 'success': 47, 'collisions': 12}, {'tx': 61, 'success': 48, 'collisions': 13}, {'tx': 44, 'success': 31, 'collisions': 13}]"
266,3,67,159,127,32,0.20125786163522014,0.7987421383647799,0.8509,"[{'tx': 56, 'success': 45, 'collisions': 11}, {'tx': 52, 'success': 45, 'collisions': 7}, {'tx': 51, 'success': 37, 'collisions': 14}]"
267,3,68,157,125,32,0.20382165605095542,0.7961783439490446,0.85,"[{'tx': 56, 'success': 48, 'collisions': 8}, {'tx': 49, 'success': 38, 'collisions': 11}, {'tx': 52, 'success': 39, 'collisions': 13}]"
268,3,69,155,126,29,0.1870967741935484,0.8129032258064516,0.8694,"[{'tx': 59, 'success': 49, 'collisions': 10}, {'tx': 42, 'success': 33, 'collisions': 9}, {'tx': 54, 'success': 44, 'collisions': 10}]"
269,3,70,145,133,12,0.08275862068965517,0.9172413793103448,0.931,"[{'tx': 47, 'success': 43, 'collisions': 4}, {'tx': 48, 'success': 44, 'collisions': 4}, {'tx': 50, 'success': 46, 'collisions': 4}]"
270,3,71,153,118,35,0.22875816993464052,0.7712418300653595,0.8378,"[{'tx': 52, 'success': 39, 'collisions': 13}, {'tx': 43, 'success': 33, 'collisions': 10}, {'tx': 58, 'success': 46, 'collisions': 12}]"
271,3,72,147,122,25,0.17006802721088435,0.8299319727891157,0.8784,"[{'tx': 55, 'success': 47, 'collisions': 8}, {'tx': 44, 'success': 37, 'collisions': 7}, {'tx': 48, 'success': 38, 'collisions': 10}]"
272,3,73,143,119,24,0.16783216783216784,0.8321678321678322,0.8687,"[{'tx': 50, 'success': 43, 'collisions': 7}, {'tx': 64, 'success': 55, 'collisions': 9}, {'tx': 29, 'success': 21, 'collisions': 8}]"
273,3,74,144,113,31,0.2152777777777778,0.7847222222222222,0.8362,"[{'tx': 29, 'success': 20, 'collisions': 9}, {'tx': 57, 'success': 46, 'collisions': 11}, {'tx': 58, 'success': 47, 'collisions': 11}]"
274,3,75,147,109,38,0.2585034013605442,0.7414965986394558,0.8175,"[{'tx': 50, 'success': 34, 'collisions': 16}, {'tx': 48, 'success': 37, 'collisions': 11}, {'tx': 49, 'success': 38, 'collisions': 11}]"
275,3,76,137,119,18,0.13138686131386862,0.8686131386861314,0.9044,"[{'tx': 48, 'success': 42, 'collisions': 6}, {'tx': 43, 'success': 37, 'collisions': 6}, {'tx': 46, 'success': 40, 'collisions': 6}]"
276,3,77,135,117,18,0.13333333333333333,0.8666666666666667,0.9009,"[{'tx': 47, 'success': 40, 'collisions': 7}, {'tx': 48, 'success': 42, 'collisions': 6}, {'tx': 40, 'success': 35, 'collisions': 5}]"
277,3,78,137,112,25,0.18248175182481752,0.8175182481751825,0.8736,"[{'tx': 47, 'success': 41, 'collisions': 6}, {'tx': 45, 'success': 37, 'collisions': 8}, {'tx': 45, 'success': 34, 'collisions': 11}]"
278,3,79,139,105,34,0.2446043165467626,0.7553956834532374,0.8295,"[{'tx': 40, 'success': 26, 'collisions': 14}, {'tx': 41, 'success': 30, 'collisions': 11}, {'tx': 58, 'success': 49, 'collisions': 9}]"
279,3,80,135,110,25,0.18518518518518517,0.8148148148148148,0.88,"[{'tx': 45, 'success': 33, 'collisions': 12}, {'tx': 43, 'success': 35, 'collisions': 8}, {'tx': 47, 'success': 42, 'collisions': 5}]"
280,3,81,131,109,22,0.16793893129770993,0.8320610687022901,0.8829,"[{'tx': 42, 'success': 34, 'collisions': 8}, {'tx': 37, 'success': 32, 'collisions': 5}, {'tx': 52, 'success': 43, 'collisions': 9}]"
281,3,82,127,109,18,0.14173228346456693,0.8582677165354331,0.8938,"[{'tx': 40, 'success': 33, 'collisions': 7}, {'tx': 44, 'success': 36, 'collisions': 8}, {'tx': 43, 'success': 40, 'collisions': 3}]"
282,3,83,132,101,31,0.23484848484848486,0.7651515151515151,0.8383,"[{'tx': 47, 'success': 36, 'collisions': 11}, {'tx': 37, 'success': 28, 'collisions': 9}, {'tx': 48, 'success': 37, 'collisions': 11}]"
283,3,84,131,99,32,0.24427480916030533,0.7557251908396947,0.8316,"[{'tx': 42, 'success': 31, 'collisions': 11}, {'tx': 40, 'success': 28, 'collisions': 12}, {'tx': 49, 'success': 40, 'collisions': 9}]"
284,3,85,122,108,14,0.11475409836065574,0.8852459016393442,0.918,"[{'tx': 45, 'success': 41, 'collisions': 4}, {'tx': 39, 'success': 33, 'collisions': 6}, {'tx': 38, 'success': 34, 'collisions': 4}]"
285,3,86,126,100,26,0.20634920634920634,0.7936507936507936,0.86,"[{'tx': 32, 'success': 23, 'collisions': 9}, {'tx': 50, 'success': 37, 'collisions': 13}, {'tx': 44, 'success': 40, 'collisions': 4}]"
286,3,87,123,101,22,0.17886178861788618,0.8211382113821138,0.8787,"[{'tx': 38, 'success': 31, 'collisions': 7}, {'tx': 42, 'success': 33, 'collisions': 9}, {'tx': 43, 'success': 37, 'collisions': 6}]"
